experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
macrolag_A7_ff_concat_f1_s42,a6239fa863b2fb0ab4349535d89241d35349c9d2e28d6814c958cdf8cb0c23a5,42,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.0241307125392186,0.5158867120089331,0.5552550592185022,-0.04358527268266621,0.023335128463262883,0.45963060933302763,,,30436,9112,9851,5091,38,0.04037438503805734,36.49802899360657,,
macrolag_A7_ff_concat_f3_s42,54a0e49de06d7c9533b6b1c7f278f0772c168a5b1e0736ba823b6fc898f28384,42,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.009251889554885413,0.5026015609365619,0.4828877561635286,-0.21340746513405495,0.025286945577580107,-0.29663424332097754,,,46657,12721,9994,5091,33,0.011395584980050822,48.661028146743774,,
macrolag_A7_ff_concat_f0_s42,6d058cfafba8738e270c09ea3ec2ab7e7c592419932869379d484d6a68e39007,42,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.012066549928102636,0.5073267326732673,0.5318908748824083,-0.000696590435995903,0.03449459427609304,0.10930573325570757,,,23076,6372,10100,5091,93,0.04046950908707064,67.68546199798584,,
macrolag_A7_ff_concat_f2_s42,ff3043ed2868fefb557128d0bf2715586fe21396ed5f14e89c1931baf81ba1dd,42,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.004342480453147057,0.5037578915723019,0.537196261682243,-0.005980528607105962,0.023681587800342706,0.30789300332675357,,,38427,10972,9979,5091,61,0.04323942995500884,74.04261088371277,,
macrolag_A7_ff_concat_f0_s123,e8bd12020d6731281b2369515a4f9effa21ffa5a2e93b3053c0ecb603942638c,123,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.0275308757816178,0.52,0.5768895095130039,-0.0022325818029214073,0.03452105738377231,0.17732947035982333,,,23076,6372,10100,5091,51,0.026752662067175446,36.78906798362732,,
macrolag_A7_ff_concat_f1_s123,215f8831139fe502192796f25fd51261f10d3d5f837a0447d543e4317790bac8,123,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.019231589183703622,0.5266470409095523,0.6214175529755622,-0.06981671466850004,0.023626582919932033,0.9006152025320109,,,30436,9112,9851,5091,40,0.037320847344517266,37.905720233917236,,
macrolag_A7_ff_concat_f4_s42,0f32cf9bc4560522d3d7e228d5af118856642c25f5768fe9ebc1dd195e14f60f,42,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.0062165983607592405,0.49401860877270715,0.48627980206927574,-0.0010984418815671582,0.019069828010939354,0.5579488012785898,,,54033,15339,4514,5091,54,0.011807690131107813,90.49750900268555,,
macrolag_A7_ff_concat_f3_s123,192d384a56e316980b24c46849883e40541b18ee3a308f6e3df35fc7a9301017,123,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.0035271203470014236,0.5039023414048429,0.5399034892353378,-0.2417997081642449,0.025581076670377373,0.003991049776334081,,,46657,12721,9994,5091,33,0.0026932129824886815,47.92265295982361,,
macrolag_A7_ff_concat_f1_s456,d9bf04ebf0eaccbb75a3dd9cbaf06fc2bc0e6b568b4b88e1398dc262b3e0e342,456,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.026355193468241243,0.5281697289615267,0.6156771953034562,-0.015666487942188834,0.02302087288609798,0.12356892119047107,,,30436,9112,9851,5091,42,0.010582637437076495,39.60385298728943,,
macrolag_A7_ff_concat_f0_s456,3574762070e3d764b231a68d337dab8bde1744bef46f4fe4392c24b476540f80,456,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.011333168410943542,0.4998019801980198,0.5518097941802698,0.001991029379788456,0.03444824122184365,0.41978139521753627,,,23076,6372,10100,5091,72,0.03308146764477055,50.6001410484314,,
macrolag_A7_ff_concat_f2_s456,d94d6854ad52cd8b0822b328bb2e0b2845a23da5333dd290080c6c3d8cae26ad,456,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.019161550135706112,0.4931355847279287,0.5420137631293009,-0.011050819943862367,0.023741192151650686,-0.35074986642960515,,,38427,10972,9979,5091,46,0.03476122222142485,55.0061399936676,,
macrolag_A7_ff_concat_f2_s123,f44da418b134f87b6ea1f0884ea0e57155d6139baeae89bbdc9db5a57ffa698a,123,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.005406528559243289,0.49864715903397133,0.5281524096953691,-0.014386536442259068,0.023780324048919055,0.06224333813921977,,,38427,10972,9979,5091,149,0.049035699880921324,177.19769978523254,,
macrolag_A7_ff_concat_f4_s123,032ad65ba23f6cde06a4993cc0bbb2722c8ee30762290be69154e6a5e5955527,123,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.02756664895921198,0.4880372175454143,0.5168304411457245,-0.0066345654490271855,0.019122483856851058,0.41695744862106393,,,54033,15339,4514,5091,114,0.010284099089473676,192.30214381217957,,
macrolag_A7_ff_concat_f3_s456,8524bf294cb035f3e7d2873bb58a7c52c4737ac1eafdb8309a702d1a5bfa27bb,456,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.0015147058590542705,0.5011006603962378,0.5336700336700337,-0.005424679290474188,0.023018012059725035,0.6668498218725435,,,46657,12721,9994,5091,103,0.007184955746684758,151.01120615005493,,
macrolag_A7_ff_concat_f4_s456,da3fe6a68df5089a006390085ad25b2be9995bfeff0099cf64d13907f0f42d4a,456,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.020605828486842417,0.48715108551174124,0.48175509290351465,-0.00038745593125644184,0.01906305505665803,0.5235949228452906,,,54033,15339,4514,5091,71,0.0022588985226609324,123.9233148097992,,
macrolag_A4_ff_concat_f1_s42,839b938fc66d7ed276a8d3ce77b5f59c8e368a9444f027354cdb16969cee0476,42,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.027740145525116392,0.5140594863465638,0.5354682193110141,-0.08766731751241919,0.023822880088936255,0.8737430256079459,,,30436,9112,9851,14115,35,-0.002327066212145951,54.70631289482117,,
macrolag_A4_ff_concat_f2_s42,fa480fa0636228f2ac22e9f0f924933629af6248b07e79399ef9a27af7348563,42,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.013382552204619825,0.5093696763202725,0.5607392786649918,-1.8967380730246144,0.04018561729171667,-0.23922225952700135,,,38427,10972,9979,14115,31,0.04563794803449433,61.66766691207886,,
macrolag_A4_ff_concat_f0_s42,87240a8bff4c2ce187c703c21f3d4b8441b0f036aeee8ed9a43d1d12dc39fec6,42,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.028936427048567106,0.4914851485148515,0.5463698993110757,-0.1259961570210859,0.036590495047653555,-0.5353191757383404,,,23076,6372,10100,14115,150,0.046912430573640904,175.3929831981659,,
macrolag_A4_ff_concat_f4_s42,9969f522e9aafea32da99bc19056519bd0b00e4d88a66c1ffcea09f2ed1e3c6c,42,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.007753730582071995,0.5044306601683651,0.5734985700667303,-2.7528968474545352,0.03692255084659715,0.7413280177567698,,,54033,15339,4514,14115,31,0.018028400005624515,86.62707591056824,,
macrolag_A4_ff_concat_f3_s42,ac949f2984fe420b3e1e5f1bea61b7e26902c34b84719f9e895042c9c7be86c2,42,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.03491918206735631,0.47578547128276966,0.305080249369943,0.0008754386385056989,0.02294578184674055,0.5840826703903825,,,46657,12721,9994,14115,37,0.012554034906967292,89.09199404716492,,
macrolag_A4_ff_concat_f0_s123,b64c47a649ce2232778a0fed37bb714b81afc978538e4d706b511f8b5f42503c,123,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,2.2034383154324924e-05,0.5082178217821782,0.576158375287994,-0.04291035162585599,0.03521464545368355,0.12413788264354406,,,23076,6372,10100,14115,47,0.022435206132538795,55.45540809631348,,
macrolag_A4_ff_concat_f1_s123,9bdad829cac0a896addcf2e1b1fbde133524139d5fd683d79af71a558408cc52,123,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.023589842783945502,0.49487361689168613,0.5482933914306464,-4.105065336665187,0.05161154710395687,-0.4336933944058176,,,30436,9112,9851,14115,31,0.00255113344679066,53.4674289226532,,
macrolag_A4_ff_concat_f2_s123,306580d7e38c3602b51a0c52c5fabe06c2047fdd25b32cefcb006c91bf3f9089,123,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.005352299977167582,0.5011524200821725,0.47961530420238346,-0.0011275412390006068,0.023624397137237376,0.3448769221685797,,,38427,10972,9979,14115,46,0.042001587294110326,100.64774703979492,,
