experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
macrolag_A7_lstm_concat_f0_s42,9a837564c68d1f2e221de15857163a4c19d38720e2c4c02e7ffec7c91b80bc53,42,0,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.018426733162632186,0.5258415841584159,0.6402764215428529,-0.14738141669026983,0.0369363295984049,0.17544445938848657,,,23076,6372,10100,57123,34,0.026790874638266036,260.60694885253906,,
macrolag_A7_lstm_concat_f1_s42,69dc116cfc616dc959fccac72ff2c7f4e77568ed2ece9b41196813e480232e27,42,1,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.02035896080849766,0.5252258653943762,0.6126066429222232,7.139316885673708e-06,0.02284255477468822,1.3063921274138324,,,30436,9112,9851,57123,54,0.0358707486621463,536.6317210197449,,
macrolag_A7_lstm_concat_f2_s42,525b75dba8f3f8f443e5ce28f99f749b44f997eddcfc3205993981f96f2527da,42,2,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.01902609282717801,0.4981461068243311,0.5990392313851081,-0.02211876236068977,0.023870785505718715,-0.14871111472705445,,,38427,10972,9979,57123,43,0.04489897511353038,543.7699408531189,,
macrolag_A7_lstm_concat_f0_s123,3f2bf9a74741137a2e13a06ab2ea0dc85d01dffb925c7bf03016438e8adfceb4,123,0,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.017268497925166996,0.508019801980198,0.5189272920902314,-0.02837264870516787,0.03496834592714772,-0.04628742029368598,,,23076,6372,10100,57123,42,0.034740104600560845,314.9146900177002,,
macrolag_A7_lstm_concat_f4_s42,bfea1b4b36970f0a5e1cc9b91ab8f41fc53d6b9ad79de943bf21b81162866f74,42,4,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.00866862888165326,0.5150642445724413,0.634862385321101,-0.0037033322856121487,0.019094622046182494,0.6372319864386062,,,54033,15339,4514,57123,42,0.03192678197800932,728.9297878742218,,
macrolag_A7_lstm_concat_f1_s123,307de854f21b727aa98dad961432ef992c4c977a7865ccb9b5b23ff087d1118d,123,1,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.03118049781310377,0.5358846817581971,0.6443130543021628,-3.2966977939530295e-05,0.022843012838483893,1.392712261732455,,,30436,9112,9851,57123,70,0.03970666811669748,692.4144613742828,,
macrolag_A7_lstm_concat_f2_s123,7303596c8c7a7aa9d77e3779d1afbfc0d2913e16d4f917217d28c87420c20ea6,123,2,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.02048033102595236,0.4931355847279287,0.5503200568990043,-0.025811411413260155,0.02391386609854229,0.1084076290987139,,,38427,10972,9979,57123,38,0.029117866273487777,466.39248633384705,,
macrolag_A7_lstm_concat_f3_s123,c75fe9a4e4c9a423b0785b306e7dcff76c1809061385593614bc66e693fa4a2f,123,3,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.0155050875688427,0.5180108064838903,0.6477513711151737,-0.002674441483330403,0.02298650877621562,0.6377932080283272,,,46657,12721,9994,57123,47,0.004580257677275685,707.0715229511261,,
macrolag_A7_lstm_concat_f4_s123,9a53afe0cc9f5c4dbffcad5c0c66661c6d1088b0de983cb6a0592d9ee48cfc2f,123,4,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.011164596138479902,0.4971200708905627,0.5317656765676567,-0.289031307711088,0.021639145956682936,-0.8815093828225175,,,54033,15339,4514,57123,31,0.026016183551789727,541.6804168224335,,
macrolag_A7_lstm_concat_f0_s456,5ce66c4010e7f12be1cd1d0ee3ac277fca0f2e1822d2ff1f825a8e1e8ceb2e6c,456,0,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.026576864473645302,0.5125742574257426,0.5227338826951042,-0.00814622574737589,0.03462275283479237,0.38031322657016925,,,23076,6372,10100,57123,66,0.024222821032894644,494.3859717845917,,
