experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
macrolagvol_A7_ff_concat_f1_s42,a97d90845690af49baf6fe10b7d14d3a841ecff7a078e584a53b1b2d47ddd381,42,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.015280957452602682,-0.1857812291656893,49775,12430,13860,2945,33,0.023847803882088812,32.89612412452698,,
macrolagvol_A7_ff_concat_f2_s42,fbb15a4f1e1d8d86fc48c07388806bb30139831ee854fd39ce7ac9695a09c19b,42,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014528203940963592,0.00782920242962637,60775,15290,13860,2945,34,0.014933726978728972,41.26699233055115,,
macrolagvol_A7_ff_concat_f3_s42,5c615dac311c55913645b60d299c44db5fcfdc9de91e58e751a4f4b8f28a1b83,42,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.01409221335951823,-0.02072218794168368,71885,18040,13805,2945,62,0.013608103923113403,88.95685195922852,,
macrolagvol_A7_ff_concat_f4_s42,ffa728a0d3d11c691d9674ca10e7708d3ddc4bfeb7f2ca0ef2061c66aaef9444,42,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011385813086901899,-0.012920731709971545,83050,20680,6875,2945,34,0.01514932888097304,56.06115937232971,,
macrolagvol_A7_ff_concat_f0_s42,613858e2683bf201db1d8fafb49542ecf4343fa7e81ba5b41ffa5b27d9ba6de9,42,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023026447739618768,0.0373810259838262,38775,9515,13915,2945,121,0.012744413660890625,92.18668913841248,,
macrolagvol_A7_ff_concat_f0_s123,c6e1f783168eb7a00852dc305891584c88d95c4d9db461a1074e64a2d20ddca9,123,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023037312083667463,0.03647244546453787,38775,9515,13915,2945,109,0.012652762162507837,83.22692680358887,,
macrolagvol_A7_ff_concat_f2_s123,d1d577665dc0c4bb758b5afcf0c09dee0ca4fa339c718267ed38dd82d01ccb53,123,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014540960648638013,0.0060860565266313005,60775,15290,13860,2945,44,0.014979700288742898,52.86253881454468,,
macrolagvol_A7_ff_concat_f3_s123,2ef6b326308fb7594008cfd28c7a8fe80e15ac607355fbe9aebc6735dfdc0575,123,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014117180508412076,-0.024342215205868767,71885,18040,13805,2945,37,0.013508436016356293,52.01011514663696,,
macrolagvol_A7_ff_concat_f4_s123,78176627fb42e22dda36b8583f17a2f2d7f6b0b5dcc840d4e1ffe40341b978bf,123,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011356762803510837,-0.007758501286712072,83050,20680,6875,2945,35,0.015113781855094599,57.66510224342346,,
macrolagvol_A7_ff_concat_f1_s123,2111517c591a01c7f3fc2e4a798ea659e60b1ac1a709e5927f7b2b730090e985,123,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014388893226852323,-0.051376384851590906,49775,12430,13860,2945,109,0.02354208841139529,107.60101699829102,,
macrolagvol_A7_ff_concat_f0_s456,86728b34141c93b1dd8a87097c6e03e43cc87a4560dae0ef4dbd049a01f6cc3c,456,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023281276211298198,0.015956959230176482,38775,9515,13915,2945,113,0.012727536696313442,86.79668521881104,,
macrolagvol_A7_ff_concat_f3_s456,986c184b9a9d76f82436e355266db4983db51eead3cd8e96c0d64c5fe4906fd6,456,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014076841976758224,-0.018496653316371736,71885,18040,13805,2945,37,0.013548258783974474,52.706218004226685,,
macrolagvol_A7_ff_concat_f2_s456,66245167238990ec15c318174c1ff7a1d1f687b0138be8fdb41110da7adc27f6,456,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.01450815467454794,0.010565751394692069,60775,15290,13860,2945,62,0.014903852950418192,74.69619393348694,,
macrolagvol_A7_ff_concat_f1_s456,2c70490dc8787d9e3f747a336db83e26fdbd19e4e6ae21fda02e499cc986a6eb,456,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014254442717638906,-0.03181995897389012,49775,12430,13860,2945,122,0.023614431494725238,119.58952808380127,,
macrolagvol_A7_ff_concat_f4_s456,3f1eaa0b3f7f4a86146f104bc44532b79eb25665f09efd527873a467b6ef87d6,456,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011354578354893018,-0.007370858260898228,83050,20680,6875,2945,36,0.015135278581705857,61.21654391288757,,
macrolagvol_A4_ff_concat_f0_s42,099d95b0064cdab50dd43f579da12fe6e7c47d6d6aa668a425fc3f242ba32099,42,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023633058104346114,-0.014005645672278133,38775,9515,13915,11969,49,0.012616054881651429,72.98798823356628,,
macrolagvol_A4_ff_concat_f3_s42,656af7a87f807288f61543e95a80169be7cd650367676f99f2e88972926264ba,42,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014025604773157872,-0.0110958529721914,71885,18040,13805,11969,36,0.01363009504968027,102.46920323371887,,
macrolagvol_A4_ff_concat_f4_s42,6da0b1b47e90f5e8d0151c745a13c87db948f5ba5e86ef5824d062faae9a5fb3,42,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011432935289615845,-0.02132238513596718,83050,20680,6875,11969,34,0.015124137108124304,111.04290390014648,,
macrolagvol_A4_ff_concat_f2_s42,27f0309398f4272ed120c28305f02fa9b3596d8e99a83de250ff8c8eb84b9486,42,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014473668578705757,0.015263960253445896,60775,15290,13860,11969,75,0.014661513847718894,177.022057056427,,
macrolagvol_A4_ff_concat_f0_s123,ee424c02416f630685f37ee085b0c91f3cffc55fcd1e92d6338dd5cbdf48e299,123,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.0234818273037019,-0.0010696781023293855,38775,9515,13915,11969,65,0.01272517126816042,99.55082201957703,,
macrolagvol_A4_ff_concat_f1_s42,f8f568aff691ec9bb34dc65250ebf1f24794d4dfde92016b4e0d415a41d7218e,42,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014219329906699362,-0.02674287847922341,49775,12430,13860,11969,127,0.023170913657730483,246.32760000228882,,
macrolagvol_A4_ff_concat_f1_s123,35e54edba47f151098cdfc43f9585aac951a7e9e5115c7458d3bcf64d29dfe51,123,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014111565469097139,-0.011239041068796363,49775,12430,13860,11969,75,0.022513530245174468,147.7233021259308,,
macrolagvol_A4_ff_concat_f2_s123,1da8af23aad68fd6d0dc9c46c927d47f2ba63f84a67a9faa8ce2606f83601dfd,123,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014485220193309426,0.013691472872490063,60775,15290,13860,11969,66,0.01470520937307855,160.3953001499176,,
macrolagvol_A4_ff_concat_f4_s123,2292ca1f36dcb1a330117018d9bbdcd0115e78296a66ad35157291ee7440bb3f,123,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011373380006069925,-0.01070976105917909,83050,20680,6875,11969,35,0.015448474351249285,114.44975900650024,,
macrolagvol_A4_ff_concat_f3_s123,bf1d24aeff9f4239f013a8102b26ee69de214a74b70cb4f6884d84741d682d01,123,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014428361840992242,-0.06999854226443802,71885,18040,13805,11969,63,0.013648250122121508,179.50657296180725,,
macrolagvol_A4_ff_concat_f0_s456,197d94bad5840da3bb68498f84b486edc75c5d4b6939c7ee10ad1537b364c26a,456,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023357135312625683,0.009533751445672145,38775,9515,13915,11969,70,0.012677521823504333,107.58131003379822,,
macrolagvol_A4_ff_concat_f1_s456,e0da0330672c04e61e41960f40821c5472d1ecb01f600b7e30d530968e5fdbb8,456,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014510085143740655,-0.06916161882511052,49775,12430,13860,11969,78,0.022673893380795247,152.69661116600037,,
macrolagvol_A4_ff_concat_f3_s456,6e677bacaa99b23e9ad696ebab04e174f725b9f218c34dc73cb1728961d90b25,456,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014093509042200834,-0.020909893425246295,71885,18040,13805,11969,33,0.013639775392974424,94.58748579025269,,
macrolagvol_A4_ff_concat_f2_s456,07914310f6e1305aa6f104cc32176992d50335d28fef10e6fc88b7917a420e66,456,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014513642420760123,0.009817097815679743,60775,15290,13860,11969,62,0.014790045148577253,149.18387579917908,,
macrolagvol_A4_ff_concat_f4_s456,41dbc5dd2dc0af32fafa5f5d3c8a6e18f43c4007facd8193b6e168fecb24ce88,456,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011432052212810868,-0.021164617903951743,83050,20680,6875,11969,32,0.01525426095133003,108.09474301338196,,
macrolagvol_A4_ff_gated_cross_attention_f0_s42,9099ddd61d60687a5b30c1fa8e263a8d121f7b55a33a46eb4867565ccf922abb,42,0,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023555050963215828,-0.007322707181616428,38775,9515,13915,28609,66,0.012789692296586826,139.42700600624084,,
macrolagvol_A4_ff_gated_cross_attention_f3_s42,3049405bdcf6afb979a06e2893e54ce5f8fefdeffe7ec5dfd99f3a72d8f005a1,42,3,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014308889290285624,-0.05235188321893003,71885,18040,13805,28609,42,0.01361723121742149,168.31937217712402,,
macrolagvol_A4_ff_gated_cross_attention_f2_s42,03840c69efe2483680cf2433e78f8acdb2c8588621c5c1ffb9507f34b21cdff5,42,2,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.01441656982176334,0.023018220351395224,60775,15290,13860,28609,75,0.014537576469871248,249.2201178073883,,
macrolagvol_A4_ff_gated_cross_attention_f4_s42,4f1e95b703f2b836c827167c05a86814df8730fd47ee8f24024bdfa51d8164ba,42,4,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011483089906990228,-0.030302824247841142,83050,20680,6875,28609,32,0.015302245594872444,144.45188903808594,,
macrolagvol_A4_ff_gated_cross_attention_f0_s123,7c8b4003b294b37ef9b46b2a178c248a4aa1d1522f4b97eb0cecdd4d62214e95,123,0,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023479630946784714,-0.0008824181028077582,38775,9515,13915,28609,47,0.012734083400055914,98.66008806228638,,
macrolagvol_A4_ff_gated_cross_attention_f1_s42,faef1892c1177e739b21472a554358b1bdefeed93d5a95deb62496253e7d5a04,42,1,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014325126942105535,-0.04207840601209001,49775,12430,13860,28609,140,0.023568566855594057,377.60779213905334,,
macrolagvol_A4_ff_gated_cross_attention_f3_s123,d06ea82ab6847de8728a13fca6340541e0db47bace7732d3f9e696dfa5d09548,123,3,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014328783447850857,-0.055280161933792815,71885,18040,13805,28609,34,0.01361915486668901,131.43136882781982,,
macrolagvol_A4_ff_gated_cross_attention_f4_s123,e83c03da9a4b590dfc5140f184544cdf20eb11604d59dc531416326626c95b14,123,4,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011303903485310251,0.00160076044231372,83050,20680,6875,28609,35,0.015322124878180916,156.11507391929626,,
macrolagvol_A4_ff_gated_cross_attention_f1_s123,ba4eead031ad04598811992b70d4dce2c9393303c82466a09efcd88517eb9445,123,1,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014196834141907668,-0.023496720496667844,49775,12430,13860,28609,110,0.023910629750891484,293.4694929122925,,
macrolagvol_A4_ff_gated_cross_attention_f0_s456,a190d3a71fc4886335c4a6dbe0b3fc978fcaf5c3133581791d2735293de42027,456,0,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023162219863943408,0.025995671023955613,38775,9515,13915,28609,102,0.01275208321852724,218.42683219909668,,
macrolagvol_A4_ff_gated_cross_attention_f2_s123,3383b7645927af75375152f914ac07e8a870a8725270adba650ea6b9cb3ecb8e,123,2,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014324869599265957,0.03540736972005021,60775,15290,13860,28609,125,0.014524878804341187,412.6819190979004,,
macrolagvol_A4_ff_gated_cross_attention_f1_s456,98530860b00435cfffaf3ac60c3253817494cfdfeb73af5e272e45c1619a8c90,456,1,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014244515932252726,-0.030383341772751482,49775,12430,13860,28609,89,0.02362763117204089,245.4255928993225,,
macrolagvol_A4_ff_gated_cross_attention_f3_s456,922776f78617dbb11072c6460ac566bd4cff4b0fa1868903e7fe3e18643271ca,456,3,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014348849809863926,-0.05823790935973583,71885,18040,13805,28609,43,0.013592571222218073,169.11747193336487,,
macrolagvol_A4_ff_gated_cross_attention_f2_s456,96070ebf2e7f30e6a7de6bb467f8b6b4631e4c6d57c348ac78e62357cff3ec6f,456,2,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014543407345821881,0.005751551661913545,60775,15290,13860,28609,83,0.014516506128551215,280.97273206710815,,
macrolagvol_A4_ff_gated_cross_attention_f4_s456,fb4193cf96724a9002bca91b15316d9708e68fe53fd4c445c5ce4cb778c60938,456,4,none,none,gated_cross_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.01125646700764337,0.009962680689002523,83050,20680,6875,28609,41,0.015350457766549062,183.5378110408783,,
macrolagvol_A4_ff_mha_f0_s42,30d391c595978312b09d40b26f438de72de2151cf25d9c92a642ad5b384add06,42,0,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023781640404898823,-0.026795941792835176,38775,9515,13915,20353,49,0.012734227714102405,98.13294506072998,,
macrolagvol_A4_ff_mha_f4_s42,3189f6918f5fb4ee8939d3309957bcf0538345decb086b74b8f0cb8f3dd84d06,42,4,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011317345827318075,-0.000775198256122378,83050,20680,6875,20353,34,0.015258254940248073,146.58056569099426,,
macrolagvol_A4_ff_mha_f2_s42,a6974680a024ca97d77edb2546d272cbd0e7daf578a8ef514ed8bc3e66f9b1eb,42,2,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014331736117514008,0.034482407675743953,60775,15290,13860,20353,75,0.014576061924968398,235.52084684371948,,
macrolagvol_A4_ff_mha_f3_s42,d673714471e3bd0c3c35295ba3c86ab2c2061c369adb162ec4fa9d37532e7541,42,3,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014114278361497251,-0.02392109910110518,71885,18040,13805,20353,76,0.013518592580610913,280.441526889801,,
macrolagvol_A4_ff_mha_f0_s123,99d0d407ebc020a591fe753d12f5f88cf01b05b9a0d36742fe25fc7b5fd46832,123,0,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023099609112337743,0.031254296530294656,38775,9515,13915,20353,62,0.01264561284255053,125.74012637138367,,
macrolagvol_A4_ff_mha_f1_s42,8a92550727a2c71e99315cfc0b5f31fca2a81c6b93025d8772c69da7b5eb97cc,42,1,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014342550150656561,-0.04461484299736984,49775,12430,13860,20353,140,0.02193023842901472,359.82922101020813,,
macrolagvol_A4_ff_mha_f1_s123,7bb9df46a9fde0849e76e7bed2105cb92379cef003462d4ed719e3bbd7e42f95,123,1,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.0142264364458739,-0.027769426408150055,49775,12430,13860,20353,75,0.02301641768996115,193.53269290924072,,
macrolagvol_A4_ff_mha_f3_s123,f27d0f92742cb29cbb8f4a1ababdc3c2b84e639acd54a34d80e3bec12f75dfb3,123,3,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014191131759717365,-0.0351021252416035,71885,18040,13805,20353,34,0.013641017124363346,126.49700403213501,,
macrolagvol_A4_ff_mha_f1_s456,4da54d12345a12be70f404323878b836b2e09d0b8327c5ee3e8d34418e0603bc,456,1,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.015121541307037563,-0.16116933595801552,49775,12430,13860,20353,33,0.02232582136573004,85.32815384864807,,
macrolagvol_A4_ff_mha_f0_s456,fd2a6eaa47c989bbab0c42e8ab11eb8f5fb45bffc366ccc4c43a6128c6492cc0,456,0,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023756594980600867,-0.024634358485826402,38775,9515,13915,20353,54,0.012705022106329365,108.27358174324036,,
macrolagvol_A4_ff_mha_f2_s123,6eca35230f5c0ea66e1713122e6fab49957b752d295a3d2f936e0ecc4015153e,123,2,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014447420199398637,0.01883241108303313,60775,15290,13860,20353,73,0.01459252418529085,229.09564113616943,,
macrolagvol_A4_ff_mha_f4_s123,41cc740fc1f0ed7d9465a5a980af21298b857e03e7c52eae3e64e20814d4b86d,123,4,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011910680544689653,-0.10846124430385506,83050,20680,6875,20353,65,0.01528315370289458,280.28384470939636,,
macrolagvol_A5_ff_concat_f0_s42,fc3a37eb821248e49ddca4ae64748e748f1c16a846e0dff9642f3b0d8cd55fb3,42,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023198019470370583,0.02298249537483954,38775,9515,13915,17409,49,0.012384644282958969,93.87564611434937,,
macrolagvol_A4_ff_mha_f2_s456,c275f618d7d8e81b6dae984291a1d12124cdae0de024777199f884e9b8f7b3fa,456,2,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014563927048407286,0.002943946177956791,60775,15290,13860,20353,63,0.01463915423471855,198.68189311027527,,
macrolagvol_A4_ff_mha_f4_s456,bf2121934cc7d0c12bd7472d4c81fe513191857aaa1f7b7df2d6dce7cec62be8,456,4,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.0114139962890392,-0.01794148534670681,83050,20680,6875,20353,64,0.015272818913586034,272.7317388057709,,
macrolagvol_A5_ff_concat_f2_s42,a0c1cadb6313a276f5792605131074e59432fb6426423406d2e534d42321e7e5,42,2,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014221119262974303,0.04932922741178569,60775,15290,13860,17409,64,0.014613848477868084,189.7519109249115,,
macrolagvol_A4_ff_mha_f3_s456,54c57f887e08aa5aeaf9c5787345b5e7be2c251e8a855a473469ea1b15bd3d9f,456,3,none,none,multihead_attention,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014167947576318849,-0.03172277607645024,71885,18040,13805,20353,107,0.013530021012291955,394.33186197280884,,
macrolagvol_A5_ff_concat_f1_s42,7c884977d753f7e33cc9ab72425e2dc19078e738077eda861ed5193c88ec2a73,42,1,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.013933249982629663,0.014155775922851777,49775,12430,13860,17409,113,0.022786617650873132,274.80254578590393,,
macrolagvol_A5_ff_concat_f0_s123,3b02ba5b2bee62133189cd16f40aab401872ac2a8fafba234d3aa5ffadcd8643,123,0,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.023105952040129947,0.030722207207792285,38775,9515,13915,17409,57,0.012424137699796032,106.79160499572754,,
macrolagvol_A5_ff_concat_f4_s42,adcefb888ebb5e47b5e5a86f8787755a9fa3429daa71741d302eefc597a330f7,42,4,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.011658209071966715,-0.061967042551987594,83050,20680,6875,17409,33,0.014956355184879352,133.08654475212097,,
macrolagvol_A5_ff_concat_f3_s42,16a80996cd5f7bb660898024741c56a6a548715ce5aec1fee5b0e26e5ee663a1,42,3,none,none,concat,parallel_multitask,volatility,none,1,feedforward,,,,,,,0.014408919841040695,-0.06711687128457777,71885,18040,13805,17409,76,0.013410724151630818,263.55860900878906,,
