experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
macrolagvol_A7_lstm_concat_f0_s42,cb4d81ff1c4d68171421db5de4208033bc3d987db26a45b3a539e36e23dd99ae,42,0,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.023362184858118733,0.009105450206014942,38775,9515,13915,54977,42,0.012781490101522117,483.80820393562317,,
macrolagvol_A7_lstm_concat_f4_s42,6e62ce61788a23907c1f9412ed26c1530f1c164a8777e917605b853a9b4731d5,42,4,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.011398097266498613,-0.01510759573578535,83050,20680,6875,54977,31,0.015214187450530726,782.3666849136353,,
macrolagvol_A7_lstm_concat_f2_s42,b74660521049189fc55fc0607020d977cfe04e01959933afa9032d9451d69658,42,2,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014561899539340499,0.0032215360709435537,60775,15290,13860,54977,75,0.014684731020586808,1365.337060213089,,
macrolagvol_A7_lstm_concat_f1_s42,2658dca4d399953367091c60de207a8e09dabcd89d9c7f575827469f4e4205de,42,1,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014199790646765617,-0.023923053308186448,49775,12430,13860,54977,102,0.023400195774320134,1519.8137440681458,,
macrolagvol_A7_lstm_concat_f3_s42,a9213805bd013b115f9e5e6bf267b2c8e58289cf14eb1cc779fd6d0ebaf386e5,42,3,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014024436869743856,-0.010927473333260274,71885,18040,13805,54977,76,0.013565904403938433,1627.9216997623444,,
macrolagvol_A7_lstm_concat_f0_s123,4a730b369f4e47790ebe8148835abbbb70c9f281930ba978aa402ca3396186a2,123,0,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.022953249205931753,0.04349141715340532,38775,9515,13915,54977,65,0.012720065924195873,755.4695899486542,,
macrolagvol_A7_lstm_concat_f2_s123,9cd9bebb316f9b6b6e081f826a93cadfa700c868b128b2c078e04a16d0d397c2,123,2,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014531304959060987,0.007405603205159483,60775,15290,13860,54977,45,0.014819274922379198,815.9694581031799,,
macrolagvol_A7_lstm_concat_f3_s123,2af431713a4ed22fc0a051ed39ac698cc28dacc6fca6266ce5edf1f80cd5f2f4,123,3,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014308639151379452,-0.05231509044727756,71885,18040,13805,54977,34,0.013618601409836036,738.3690078258514,,
macrolagvol_A7_lstm_concat_f1_s123,4f9895ba2f2a168cff90dab3057cdb9cb6c374661773261a8702887e17839787,123,1,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014332524160689065,-0.0431549021628157,49775,12430,13860,54977,75,0.023061399942754853,1119.8601579666138,,
macrolagvol_A7_lstm_concat_f0_s456,d2d5b9b71ff4a47518f9807e44d630dc3815a8d8b9a897afec6afea55c31d177,456,0,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.024057370415597988,-0.05074380431359615,38775,9515,13915,54977,38,0.012685296122904791,439.8051860332489,,
macrolagvol_A7_lstm_concat_f2_s456,1e226b6fde9ace4e66de1edc3f4a231201de5fd16416883eecaaa81a02f32ff2,456,2,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014733017859053362,-0.02034259175042008,60775,15290,13860,54977,32,0.014484504096285584,595.1988649368286,,
macrolagvol_A7_lstm_concat_f4_s123,4657781ba041b2c45ea71c241f546d161d092f50ef0969d6b338682c0591995b,123,4,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.01137811377709741,-0.011551281216822584,83050,20680,6875,54977,46,0.015182444157384676,1132.614961862564,,
macrolagvol_A7_lstm_concat_f1_s456,0503d5c399ae6f2c3524729a6fade6b2c48d236888a18e5491b2a35a81dd2566,456,1,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014377094683240286,-0.049652885461740404,49775,12430,13860,54977,65,0.023212254010414803,970.8446183204651,,
macrolagvol_A7_lstm_concat_f3_s456,1545d70d235ad88b71f572a57815289cb005ce646956e354cbfd0cbcb5c37393,456,3,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.01397231838531449,-0.003427691767542429,71885,18040,13805,54977,33,0.013580156343248757,719.5149631500244,,
macrolagvol_A4_lstm_concat_f0_s42,49bb30d6c84168f179db3e5fac7a0c00ea695021d48358cf3e68f8a640e1c7a7,42,0,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.023465687801391206,0.000305957085600439,38775,9515,13915,64001,49,0.012693957649842384,606.8306770324707,,
macrolagvol_A7_lstm_concat_f4_s456,84e11786de632da917e2ba46058a7deb27c15845d4069de11391f1dbae6892e1,456,4,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.011334398453946098,-0.0037933445952591516,83050,20680,6875,54977,33,0.015102400269274011,818.6088571548462,,
macrolagvol_A4_lstm_concat_f2_s42,363dfb4c651f3242d2b9520c20a4953b18a64ef8f42d3ed6c06737307253ef30,42,2,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014555377427073983,0.004114228009070686,60775,15290,13860,64001,45,0.014792851590184794,880.4461266994476,,
macrolagvol_A4_lstm_concat_f4_s42,987f57e9f8ff15b8718e8c8654f72955fa8bbc04ea9b6c10f46d12f1be3b1560,42,4,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.01319691707782461,-0.3607938431965769,83050,20680,6875,64001,31,0.015293317669316577,832.0899419784546,,
macrolagvol_A4_lstm_concat_f3_s42,db512c65c6c365dbb74a06045463c023c1e7fbc1bb7c31c97262558dbaba8b57,42,3,none,none,concat,parallel_multitask,volatility,none,20,lstm,,,,,,,0.014365374850012847,-0.06067677992861631,71885,18040,13805,64001,49,0.013640371533788574,1129.7234489917755,,
