experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
natcore_A7_lstm_concat_f0_s42,39af13f417e8302c47513720371ebcb698882e1db17145b832defc8668c80e50,42,0,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.018426733162632186,0.5258415841584159,0.6402764215428529,-0.14738141477750055,0.03693632956761711,0.17544445938848657,,,23076,6372,10100,57123,34,0.026790874638266036,182.99337100982666,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f0_s123,02a87cd81cb4ae99186d4c413291e96b3419e0b436e9bdffc668a98167de4632,123,0,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.012581824590635482,0.5035643564356436,0.498499699939988,-0.03031724316130502,0.03500139189369934,-0.17227628273286946,,,23076,6372,10100,57123,42,0.04135666175261475,225.26283407211304,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f1_s42,d348f562fdae5506fe26f40f241723c898ca0b82f0c131a29ac6d280558d8ac2,42,1,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.02966616712210474,0.5278651913511319,0.6076760860396458,-0.0013219277328768708,0.02285772948608899,1.254588091132073,,,30436,9112,9851,57123,45,0.044169009652232825,321.4250018596649,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f2_s42,05b0ac4cc66d44a438c275d6ce7de14f9ad10d15b3996a05230933a634064787,42,2,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.01656609880491464,0.4998496843371079,0.6057350501619402,-0.02126218485170095,0.023860781059841695,-0.07768273102006672,,,38427,10972,9979,57123,43,0.043624172421001105,386.3989477157593,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f4_s42,549e96dbcad865c3bc60a4a6865aa11901a5ce964aa4ccec5ed6b8252dac6a15,42,4,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.0023626886090550876,0.49889233495790875,0.4962138084632517,-0.0013193294938920186,0.019071931728351563,0.5653246239385626,,,54033,15339,4514,57123,45,0.025205147426761523,564.399402141571,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f2_s123,2b4b7eab8a2285788002efd0d750ad3902b006b1a167cabf9537b6de6100f3a2,123,2,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,-0.02048033102595236,0.4931355847279287,0.5503200568990043,-0.02581140567047746,0.023913866031603993,0.1084076290987139,,,38427,10972,9979,57123,38,0.029117866273487777,340.8908140659332,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f1_s123,a1652451a0397a743908397a2018c29bc4d3e695c1141935dcaa15b5d77b0349,123,1,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.03293603384784998,0.536189219368592,0.6427398545625146,-0.0003630589859331401,0.02284678255113376,1.399413287868213,,,30436,9112,9851,57123,70,0.04281899555362832,499.8489489555359,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f3_s42,55f172c1f71a959c0685afff3147423186e360caf3bd4cdce639c59950476c25,42,3,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.012134947984847419,0.503602161296778,0.4776245130041065,-0.00243229078372198,0.022983732932403324,0.3572792127784655,,,46657,12721,9994,57123,67,0.006019465382328242,722.3271219730377,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f1_s456,c5183238338f3e1a6d88670d95825bdfbb196e89737cf22a701a7162177f73f6,456,1,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.011532978204339543,0.5384224951781545,0.6812478093235191,-0.027732834395993722,0.023157215711238615,-0.04921042645521396,,,30436,9112,9851,57123,32,0.04976374724132251,230.83138585090637,2.0.0-dev,aefdbc6ab59a
natcore_A7_lstm_concat_f3_s123,c67187db89189b724850a222e1207d181f555be626228b8828e1f001416b9b8c,123,3,none,none,concat,parallel_multitask,"direction,return",none,20,lstm,0.012684124413956818,0.5170102061236742,0.6470717262557578,-0.0029732152185217853,0.022989933244452504,0.6446080054148857,,,46657,12721,9994,57123,47,0.0022808725984847446,511.4339141845703,2.0.0-dev,aefdbc6ab59a
