experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
natmacro_A4_ff_concat_f0_s42,7a6a9f80e2d204897eae9101a91f9010cd12c7c32a580cee2e9af4bc12c8c5b0,42,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.006193854564582205,0.5106930693069307,0.6063406085709733,-0.2584867251364791,0.038683356534872926,-0.31646611474030883,,,23076,6372,10100,14115,35,0.026103261072916748,37.768386125564575,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f1_s42,9da7f332525b2e4f693d7d6ba28c64901f6c707c3c88e6311a7264e9ad6f1c35,42,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.027293558682595497,0.513450411125774,0.5328915310398598,-0.08727972825334995,0.0238186350799031,0.8807669877381533,,,30436,9112,9851,14115,35,-0.0013827339813151285,53.79560685157776,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f0_s123,2faf282312bd519639f085e2db05271f42338ac95f02c4d76b3f5b3c52e4bb18,123,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.00047634043070876424,0.5083168316831683,0.5755555555555556,-0.04484828815059849,0.035247348204357994,0.09817179676435524,,,23076,6372,10100,14115,47,0.023402961831327337,58.97030186653137,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f2_s42,04d42f12c4eeaa463f60166e0f1f5f64f270d88336d3bf62f2e78d22f1a3611f,42,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.013382552204619825,0.5093696763202725,0.5607392786649918,-1.8967381281374447,0.04018561767399892,-0.23922225952700135,,,38427,10972,9979,14115,31,0.04563794803449433,65.84792184829712,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f3_s42,41679a9042470cdc243fbf47755f88b866c5dd59df66896cede30cb0e40b0587,42,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.029183472416844096,0.47938763257954775,0.3591575317157285,-0.0011835084479026037,0.022969412451943377,0.5311943667912608,,,46657,12721,9994,14115,35,0.01532957508582524,87.53230690956116,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f4_s42,bec0884eb2b64d7095968104de9bf89c444cca7c0a204ece2125d72f90530332,42,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.0061500499929132224,0.5053167922020381,0.5749095754806777,-2.7313847426227964,0.03681657627241604,0.7792950621995384,,,54033,15339,4514,14115,31,0.019258497405707925,89.56067991256714,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f1_s123,29d808657743c57c988af3f401066a771709cb5077c771ecff17389c017b4e8a,123,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.023589842783945502,0.49487361689168613,0.5482933914306464,-4.105065237545199,0.05161154660291178,-0.4336933944058176,,,30436,9112,9851,14115,31,0.00255113344679066,53.59473633766174,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f1_s456,0e43631ae2e24e073e484a3a34038eab9c98fd6084860891170875d7d2b68c17,456,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.0696573394895836,0.5290833417927114,0.5202192574206227,-4.197031263116665,0.052074353865166886,-0.9945932443072834,,,30436,9112,9851,14115,31,0.005486524207394116,43.94836091995239,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f2_s123,f8b428b3d8da3d8d121160b14209325588bad3d8e1ab0ae525201f02cd920213,123,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.005539903399312549,0.5015532618498848,0.485944605208764,-0.0012497788650616126,0.023625839362108755,0.3441002412021238,,,38427,10972,9979,14115,46,0.04088954090748316,89.05774807929993,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f2_s456,8b600a54a22f0f2087c7de31593c93d08268c2151277fbe5690de0cdd1cc5f0d,456,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.016336270800518436,0.4879246417476701,0.40135895032802243,-5.2690150473256345,0.059117449126055835,-0.11576046937516682,,,38427,10972,9979,14115,31,0.041892578074768864,55.09328579902649,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f3_s123,92eb9029e983cc53ea485f0a3a3416bb07b3b533c05e2f9cb9a4686bd32c863e,123,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.023467816639478004,0.504402641584951,0.4064709406830437,-0.002897534788277145,0.02298906586293356,0.3364326795447031,,,46657,12721,9994,14115,42,0.030923089329443296,95.53669714927673,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f0_s456,ccff21168eb2ecb036d2e85f3fb2a508863cca6edc7f0f2493d9ca0d99d816d9,456,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.023007731357499932,0.5073267326732673,0.6205581820954705,-0.012515802558409783,0.034697703868167167,0.16102765592050963,,,23076,6372,10100,14115,63,0.03323094593567086,67.33538484573364,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f3_s456,1715f5aa9a912e4dcc201f109b901f0f296bc90d2267287d77eab2b934aff245,456,3,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.008100723848077737,0.4881929157494497,0.34981568577602645,-0.09651682568765718,0.02403813072900064,-0.031877045116126095,,,46657,12721,9994,14115,33,-0.0009803653546033761,80.6062159538269,2.0.0-dev,aefdbc6ab59a
natmacro_A5_ff_concat_f1_s42,95a9b94aa2c1f885621a540d7b0baa438f8a9469bc6f74e0361c6661beb6dcc2,42,1,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.03936370438006177,0.4910161404933509,0.32553134248049503,-2.498510612912384,0.042725565847924966,0.036153824704104755,,,30436,9112,9851,19555,31,-0.0016994892013360975,61.9661021232605,2.0.0-dev,aefdbc6ab59a
natmacro_A5_ff_concat_f0_s42,1846fecb0edd0f19932a8c5088d9ae838ed699de34c65418b1fadfeb109a8df4,42,0,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.022029322780954493,0.4874257425742574,0.4910038344312261,-0.007049973573775459,0.03460392342752082,0.3279824193789281,,,23076,6372,10100,19555,52,0.03557171447050827,74.92397618293762,2.0.0-dev,aefdbc6ab59a
natmacro_A5_ff_concat_f2_s42,fdba600324bc951e65979cb03eeab98f5767d73deeb0e597c4df73b6f6c54dc2,42,2,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,-0.008804999355420609,0.48692253732838964,0.20323685029567384,-0.017307086789253745,0.023814532761737013,0.16912718446012226,,,38427,10972,9979,19555,38,0.0519026754139842,95.51319122314453,2.0.0-dev,aefdbc6ab59a
natmacro_A4_ff_concat_f4_s456,ac1acdbcacce25ea5859e6310ffa80925025c26915defb14e18e85ab29aa6349,456,4,none,none,concat,parallel_multitask,"direction,return",none,1,feedforward,0.010685268085178654,0.47252990695613645,0.06148994875837604,-0.030667055020624057,0.019349403471476893,-0.2356199812156329,,,54033,15339,4514,14115,37,-0.013702988107386212,108.86897206306458,2.0.0-dev,aefdbc6ab59a
