experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
secff12_A8_ff_concat_f0_s42,ac7ac3d62455702d83bb22a192b54312ebb9840794420cdcea55803ab7372f13,42,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.004365142808514782,0.5089108910891089,0.5684705063511397,-0.12368450610670734,0.036552915919147715,0.29519309755285617,,,23076,6372,10100,18979,36,0.018490715027704614,393.84108424186707,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f1_s42,ca1d352b6fb0e93c1ab13a8bbd2a75886635eefec9cf2515bf32592ef0e75384,42,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.024360432607964434,0.5319256928230637,0.6371862459674247,-1.8678503766808503,0.03868338498202466,0.6137239250417948,,,30436,9112,9851,18979,31,0.036365642846937316,453.94413900375366,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f0_s123,bf6a2ba7f4faea798cb83e4b1412a3e8ce6feb54fef6830656b64cba292c3e7a,123,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.010253710736547319,0.5020792079207921,0.49442042826983007,-0.008226880560797678,0.03462413777070194,0.6456784620927756,,,23076,6372,10100,18979,46,0.009936476376526684,505.1330590248108,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f2_s42,c9ebdd8a7b5ed6d957cb3d4e775d4860dfe75abb437cd292af422e70e683e6fd,42,2,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.013454567502482504,0.5106724120653372,0.5818991351999314,-0.012745972377939063,0.023761086346920243,0.2376965348341466,,,38427,10972,9979,18979,50,0.045220665269521995,917.8578472137451,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f1_s123,68f06c8ae70a7e73b329c3adbf24237620d54ffd0e578c5d02b21add751f5f61,123,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.02670414607114857,0.5226880519744188,0.586964160224877,-0.08513273550685319,0.02379510677092526,-0.17998928730088773,,,30436,9112,9851,18979,39,0.0216325227026075,570.2686069011688,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f0_s456,2192ca358051ca005d2472f8e118ef4539ee87946b77f5ef98239afa8c4eacd0,456,0,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.029154359825018163,0.5121782178217822,0.5099950273495772,-0.5858654765693365,0.04342431771915094,-0.13504905057887634,,,23076,6372,10100,18979,33,0.028799579989992642,361.06094908714294,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f4_s42,0fedff9b1192c29ffa9d9fe2fe179d9bff7de71e606efcc9f8dbc1fad9caf9b0,42,4,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.025479241784515626,0.5152857775808596,0.5483071841453344,-0.0023293746643344715,0.019081548369401603,0.7366897779706205,,,54033,15339,4514,18979,53,0.018992954788909153,1364.6532428264618,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f3_s42,a312534d52b4c09149b240e01e8764caabed0155d35651c5b0191491c3246dcf,42,3,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.029011998526575284,0.5141084650790474,0.5174880763116056,-0.004202356327844381,0.023004015983371172,0.6264882666638762,,,46657,12721,9994,18979,63,0.019136707144486263,1395.5017669200897,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f2_s123,840db9307a88d967bc440d6f013b48a51a78db06fd4d446aab86cdf4789c77c8,123,2,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.007135858804266783,0.5027557871530214,0.49480757483200977,-0.02012704223793893,0.023847516630597594,0.3363884933923621,,,38427,10972,9979,18979,72,0.04471954323831315,1321.215695142746,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f1_s456,af5b2d86527028bdcb93a88fa8fc9407a7f646efea85ed59d28b7855ef66df69,456,1,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,0.06723958739716285,0.5324332555070551,0.5465642843079347,-2.8640896687346773,0.044902427803119684,0.411316164558394,,,30436,9112,9851,18979,31,0.05083889574319801,452.3204629421234,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f3_s123,bf827236029b6355929bc6838adf9aa2a6aa49dfa00247dbf7af1e9a31492f2e,123,3,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.0027676830227849475,0.49659795877526514,0.4761012183692596,-0.0038756368594834445,0.023000273475076008,0.587920128052003,,,46657,12721,9994,18979,62,0.023244213580607007,1368.2847859859467,2.0.0-dev,5cc7bc2bda0e
secff12_A8_ff_concat_f2_s456,b32717474e2b447704c9914be1e18b3dd1409230f7940a4c77838591e7b9a5bc,456,2,none,none,concat,parallel_multitask,"direction,return",static_gics,1,feedforward,-0.013277390103773283,0.4930353742860006,0.4938469234617309,-2.59700691706018,0.04478026575764178,0.2096041412844048,,,38427,10972,9979,18979,31,0.04249468292025199,567.7858250141144,2.0.0-dev,5cc7bc2bda0e
