experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
secff12_A8_lstm_concat_f0_s123,d2085509dd1897c7b50049ccdf602aee0d48dc37ba38541f68857c3b83638fc4,123,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.008148342292017623,0.5064356435643564,0.5383831836281137,-0.04174396190459162,0.035194947935514254,0.04690324994103634,,,23076,6372,10100,71011,35,0.01594138346508356,605.9645009040833,2.0.0-dev,b2166687dcb5
secff12_A8_lstm_concat_f1_s42,fef59a373da5d88a4802983a9de9e9e00e9cd8431cd1d880a1ab23e0394244e0,42,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.01514070114817911,0.5276621662775353,0.6328994082840236,-0.24135810215727815,0.025450409047556976,-0.3665758512379311,,,30436,9112,9851,71011,32,0.026305990482808538,727.5342619419098,2.0.0-dev,b2166687dcb5
secff12_A8_lstm_concat_f0_s42,131b45219f29f0dd2c8683b845bfc47350186afafb160449bdf64b4d26394e6b,42,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.002209740170391137,0.5052475247524753,0.5489665132232151,0.01497647302681171,0.034223398394753766,1.1472550575155323,,,23076,6372,10100,71011,47,0.025032742518970717,798.851233959198,2.0.0-dev,b2166687dcb5
secff12_A8_lstm_concat_f1_s123,f0013fc43db455945e325c86d07edce82319859b407ec54838b395a9caa8e6fb,123,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.027398052359610296,0.5260379656887626,0.6029424270771323,-0.007061461457724683,0.022923145634871897,0.44895265368161075,,,30436,9112,9851,71011,38,0.02205821340737375,848.6198108196259,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f2_s42,7fcc7c2b1bf5fae17b2a4a22edae71b0c901a658acee6b5e8d03430b23318825,42,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.009825411003568983,0.5029562080368775,0.47346072186836513,-0.011753419906364693,0.02374943983983659,0.4470232373415751,,,38427,10972,9979,71011,61,0.02930887184754439,1724.0696759223938,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f0_s456,6f5fd749fffd53757dcc63241192e362c216d4e9edeca1fc4f08eadf461d5c77,456,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.006331541247506832,0.5207920792079208,0.6359807460890493,-0.7371656340385484,0.04544859330205082,-0.31700998601470287,,,23076,6372,10100,71011,31,0.007890883464507092,508.556853055954,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f4_s42,77a699cee8c7923e75da54060fec81b486538c96f3309803c2c656e27ede23d3,42,4,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.0007774244735240946,0.499113867966327,0.5105001082485386,-0.004520560963970022,0.01910239401283133,0.49555901434664573,,,54033,15339,4514,71011,64,0.023953022379377676,2550.13618683815,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f2_s123,d4a7e962e91615560f53a4da19e96d25591a8b24a4d9d3bf5d076002792acda9,123,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.005752456599183668,0.4972442128469787,0.5061521803327099,-0.04999207032279096,0.024194075957879355,0.30896319738157113,,,38427,10972,9979,71011,71,0.057957521356489385,2010.2345039844513,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f3_s123,9ed32cf5320230544259528bd4eb58dd75a76d2e09768fde62c7b4e0ce03e5da,123,3,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.017441192871584545,0.4930958575145087,0.5251218597675291,-0.010710053370435402,0.023078433959019963,0.32010650906037597,,,46657,12721,9994,71011,63,0.03449589771115268,2176.8293220996857,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f1_s456,c702581b84ec99ee1b11295d049f17b11698cac30ad64de28ed1730caa7a9180,456,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.03767877307873819,0.5469495482692113,0.693832750222954,-0.4335798334159793,0.02734998967929375,-0.4496385506116785,,,30436,9112,9851,71011,32,0.027556278666093698,756.695699930191,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_gated_cross_attention_f0_s42,bcd7c9e03cc46f214aa23bbe052ee9837493a17aa36930e2289e498a46d1757a,42,0,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.023544814948478085,0.5118811881188119,0.527958636537725,-0.03900144199427391,0.035148589876417544,-0.42766457163634397,,,23076,6372,10100,87651,32,0.02579115376757264,570.2130720615387,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f2_s456,34eb080c4ffda58386f9813049cae1dc671bf0699504bae30c5930e73691fa46,456,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.006853209204393128,0.5022547349433811,0.4875683482925823,-0.016136849163415512,0.023800831549101394,0.09281772964139413,,,38427,10972,9979,71011,41,0.03309491486971169,1211.398129940033,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f3_s42,0637b6fad6d28fd349fa9c2f1630923328bdcd8ec015cdb014b1806d591c7df5,42,3,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.016130924822769295,0.5068040824494697,0.49832061068702294,-0.02468816525627937,0.023237473246923265,-0.0735372858755817,,,46657,12721,9994,71011,112,0.028974266808800185,3891.9450352191925,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_gated_cross_attention_f1_s42,1d4c0b532f1c301e89b234594638d0b6ad8181c7053e61d4579956e0cf61c9c7,42,1,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.012127038768385792,0.5342604811694244,0.664570843690598,-0.026704511318910384,0.023145627554182858,-0.2658000938644556,,,30436,9112,9851,87651,32,0.043010887022447826,736.2883787155151,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_gated_cross_attention_f2_s42,fffd97400278e5b6538b6cacf567dfc6155ff2727b02958d8d269eda9c7b790f,42,2,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.0063143992158775225,0.5027557871530214,0.5023069207622869,-0.012483447292411354,0.023758006460307235,-0.22034829249539875,,,38427,10972,9979,87651,45,0.04822118107893678,1320.6758587360382,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f3_s456,5ad17b1599ec2f5add795fda4882a660cc4878053c60bad6fdde6a976192377e,456,3,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.012345674897953959,0.5051030618371023,0.4991899554475496,-0.02360884973945887,0.02322523187721277,0.1532595045523427,,,46657,12721,9994,71011,82,0.03634742591091521,2840.443706035614,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_gated_cross_attention_f0_s123,fe122a6df73aa20dc2c40ae1e2af73e291e21588d862cdc0e37b3a6d2d9bfab3,123,0,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.008574580020118685,0.5136633663366337,0.5884718498659518,-0.004954200349524429,0.03456789753566408,0.312493779445978,,,23076,6372,10100,87651,34,0.023894711740976588,560.2365670204163,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f4_s456,c115fea275eda468a8181bb8832f61cd78a4280391cb3474fe753be7907f604d,456,4,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.005775723010430122,0.4964554718653079,0.4581644815256257,-0.021924817364665783,0.019267166771118057,-0.22093307502666332,,,54033,15339,4514,71011,67,0.02333547052420532,2693.980178117752,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_concat_f4_s123,99167c926b056d209702499186a0b4be84b9339e38903d47f90ff17e4c506571,123,4,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.034369527281731586,0.511298183429331,0.4811853245531515,-0.011986175206748051,0.019173247272775407,0.3909008348698696,,,54033,15339,4514,71011,109,0.02958219766138302,4369.557924747467,2.0.0-dev,5b7922cc3342
secff12_A8_lstm_gated_cross_attention_f1_s123,a11ad3f5cf033202f8f3ada7d9eb2629cbd8a89e2e6dfad2b0ec0160b7ca9f6b,123,1,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.009498573012075124,0.5188305755760837,0.6020819341840161,-0.3248477317605245,0.026292338111788827,-1.218347958643341,,,30436,9112,9851,87651,31,0.00899916168170996,671.1126670837402,2.0.0-dev,5b7922cc3342
