experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha
secgics_A8_lstm_concat_f0_s42,ae15bf6fbd9eea7784acc0c337c38aaf53c554c42cd093fd4d46542e3923eff6,42,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.029949811521399375,0.5156435643564357,0.5355990127207139,-0.05335513370594702,0.03539054406970478,-1.1186341752860234,,,23076,6372,10100,71011,42,0.010299837194923103,636.0845723152161,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f1_s42,242670e07e3f44afa8e720986ebaca486c598c75116c1d36ad59d9d6819f9d8a,42,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.03011291545342252,0.5323317429702569,0.6290361542797327,-0.39166384038823665,0.02694718455982857,-0.575333711106822,,,30436,9112,9851,71011,32,0.02086520589060071,645.9907948970795,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f0_s123,81f10ebadf12dca4cd6f4238516ed492b6fe871b8930c2630e11c3f12ba55983,123,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.026469035528679727,0.5175247524752475,0.5619775280898877,0.0036704943976102467,0.034419243999411535,0.6011762335405649,,,23076,6372,10100,71011,70,0.024385627780902218,1051.6509799957275,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f1_s123,9be979866a7f81d53598fabd482ca0d86568a4d1925f696dce32c85b41a065b6,123,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.013001947874165752,0.5014719317835753,0.49438896324513537,-0.2175198582377309,0.02520485782423115,-0.42385628966429867,,,30436,9112,9851,71011,31,0.011127721015940216,614.855220079422,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f2_s42,a82e6d266dcdc15c354194ec70f50238a544dea55b3adc4fd958ac276a976e65,42,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.03589504803763068,0.48111033169656275,0.4690319934372436,-0.03552087583478869,0.024026773785010065,-0.16672019430976606,,,38427,10972,9979,71011,69,0.017567952944154912,1724.7094309329987,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f4_s42,52b1efcf2d2fea0ede284c3bfb0a0eb3eb6d5ded3bab1ad8c95fd0678fed73c4,42,4,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.002674047404926148,0.49822773593265396,0.48882870683818547,-0.0025181337657513847,0.01908334500754121,0.347209341355789,,,54033,15339,4514,71011,58,0.01254620014932678,2035.5161290168762,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f3_s42,953521174995f03faf8926f7c747c7c649abb45fbe1621aedf27b9f8ad6c0149,42,3,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.001544404044911805,0.4992995797478487,0.5090266875981162,-0.014772918281570568,0.023124772925943962,0.20382873309449545,,,46657,12721,9994,71011,79,0.015129715174611877,2383.1514570713043,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f2_s123,b6a96a4052096f02f86a22864857b923eacf45585e32c22da689ce1cb742efc4,123,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.0043715293102157835,0.4998496843371079,0.5399575997787814,-0.07306263646682809,0.024458429480889405,-0.13434737974142555,,,38427,10972,9979,71011,76,0.03590975201425557,1884.965840101242,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f3_s123,db20e1395d62302f5021d0956537cd342f8e4f77112a705bd516914185639233,123,3,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.010548456930618214,0.4947968781268761,0.5045628495731529,-0.0054783314731221555,0.02301862620324956,0.6237955738507373,,,46657,12721,9994,71011,51,0.015130308592096093,1531.3619229793549,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f0_s456,73d9de97c8a27f0176ff575f7daf320bc287a533c92ec3bcd67d00223e54bb5d,456,0,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.008667177793419753,0.5068316831683168,0.5396913409111912,0.00011863016514279678,0.03448054084889072,0.6257437753990199,,,23076,6372,10100,71011,65,0.01819119439284398,964.0755422115326,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f1_s456,e7d8a27f416958e9d93401599542adbe799fda6fa5e7cc1461b6a6829a224eb3,456,1,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.013046468967694848,0.5144655364937569,0.6197026317881847,-0.0925361574693011,0.023876140986815526,-0.23293971291922871,,,30436,9112,9851,71011,35,0.0395509319302306,692.9655408859253,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f4_s123,3b177533e9043ace25398dbf195a881b8e5eb7bc35513869921f3cd325f5b066,123,4,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,-0.003994577305536135,0.488701816570669,0.4195171026156942,-0.003568652534642558,0.01909334091801782,0.6192767898989722,,,54033,15339,4514,71011,49,0.00864433983868626,1707.5406911373138,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_gated_cross_attention_f0_s42,f6846a91946e3acdc0142ed99cc4a3695b627cf5928c7d8608effaeda73d350f,42,0,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.02031522515899098,0.5136633663366337,0.5530482256596906,-0.029992435950874974,0.034995874369522166,-0.3021082581424618,,,23076,6372,10100,87651,32,0.041240846698039485,483.35112714767456,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_gated_cross_attention_f1_s42,e6dc18b4888d73047c0b335b5c71dfc01562a26a158c414f0b85ff42dcc7a9ed,42,1,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.020682995283262267,0.5181199878184956,0.5756681862876554,-0.005434502213308212,0.022904621393644527,0.8760654734293376,,,30436,9112,9851,87651,34,0.024454196239648285,683.3621139526367,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_gated_cross_attention_f2_s42,e0bce31bfdf9d2b25a46b5876458a22b621dc172f998b1adbc9bfbfe352d4c1b,42,2,none,none,gated_cross_attention,parallel_multitask,"direction,return",static_gics,20,lstm,0.011553741140353006,0.504258943781942,0.48334203655352476,-0.015382805574537306,0.023791998981350846,-0.34308200533759114,,,38427,10972,9979,87651,45,0.01512564234764658,1135.5870769023895,2.0.0-dev,5cc7bc2bda0e
secgics_A8_lstm_concat_f2_s456,d744c316e27409556d6581520b56bea42b37dc1b0c918a487b28c401f2329023,456,2,none,none,concat,parallel_multitask,"direction,return",static_gics,20,lstm,0.01458250728892645,0.5089688345525604,0.544186046511628,-0.034804069095121015,0.024018456456379518,0.3139107236160299,,,38427,10972,9979,71011,70,0.027676875136849625,1738.2348401546478,2.0.0-dev,5cc7bc2bda0e
