experiment_name,config_hash,seed,fold_idx,news_encoder,news_aggregation,fusion_strategy,head_architecture,targets,graph_source,lookback,price_encoder,mcc,accuracy,f1,r2,rmse,sharpe_ratio,vol_rmse,vol_r2,n_train,n_val,n_test,n_params,epochs_trained,best_val_metric,elapsed_seconds,platform_version,git_sha,quantile_coverage_80,quantile_interval_width
v3_a4_retest_A4,121c91de6cd6feac8b56eb7093e4e2f9bd61ff9a3bc07e0623381028173e10b4,789,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.00956192819360493,0.49683168316831683,0.44712793733681466,-0.016608921166083368,0.034767766268551194,-0.19468758692434365,0.023547361814764085,0.1282767492206789,23076,6372,10100,225185,35,0.006058073719419429,1277.0395729541779,v3-3.0.0-dev,9a34e219e66a,0.8477227722772277,2.1833337781644406
v3_a4_retest_A4,1e23672e8c5ca4ddd3a3ba461130420228a8dd8c8610bcdaefc97550d7f7677a,1000,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.005882076919963715,0.47316831683168314,0.1782239382239382,-0.10582941573314786,0.03626134428321718,-0.08974680331438367,0.02488375863578145,0.026522145750739745,23076,6372,10100,225185,37,0.006122313136457333,1341.9448792934418,v3-3.0.0-dev,9a34e219e66a,0.7149504950495049,1.690774228073104
v3_a4_retest_A7,2945dc348a9bf420150cc7519556b2fca61b750bec75fe0f790ad2efeae79bac,1000,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.012604863835015807,0.5323762376237624,0.6899494518479617,-0.0487221084168179,0.03531262828792442,0.1083849209533287,0.025499305092061764,-0.02223514033568108,23076,6372,10100,195021,63,0.005759111117457296,1879.17578291893,v3-3.0.0-dev,9a34e219e66a,0.5421782178217822,1.0702022997787386
v3_a4_retest_A7,4cea9ae335cca4ae60c7b2f504154401f4fe68d655361a42dc046f7cb99cfd95,789,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.01725300992684879,0.5141584158415842,0.566557724582634,-0.04160212787269435,0.03519255194788546,0.1857415652099291,0.026218457338636602,-0.0807080471587891,23076,6372,10100,195021,76,0.005827379096920584,2267.365429878235,v3-3.0.0-dev,9a34e219e66a,0.5396039603960396,1.0767600277587026
v3_a4_retest_A4,40cf4996e2ca205d1f73603e32b374f15435a5c30b1f4431909234f06f42ed2a,1234,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.023288403907392976,0.5153465346534654,0.6529107282138552,-0.06165816311847494,0.0355297525509178,-0.08747155646297208,0.024664672311969574,0.04358844239196713,23076,6372,10100,225185,48,0.005890003316957906,1727.6099379062653,v3-3.0.0-dev,9a34e219e66a,0.7138613861386138,1.629065522058236
v3_a4_retest_A7,81d59dd6118e18dc991358cca811c6be4550457e89a059cb585f72bd798babca,1234,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.014984778317774356,0.49415841584158415,0.3930141380539385,-0.014152706818282956,0.034725739915718194,-0.11430060842731976,0.025413619535388825,-0.015376630218759013,23076,6372,10100,195021,64,0.00571670911495696,1911.53582072258,v3-3.0.0-dev,9a34e219e66a,0.5033663366336634,1.0065324845986603
v3_a4_retest_A7,1dcb532afb63f0a84b68843f4bbf2c90929e12c129e94008fab440139ec4b5cd,5678,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.02295729851148368,0.5296039603960396,0.6539946107348337,-0.010927037910158699,0.03467047065006722,0.23883369410713737,0.023923861009584824,0.10017789659331044,23076,6372,10100,195021,58,0.005523474114959152,1718.1687488555908,v3-3.0.0-dev,9a34e219e66a,0.650990099009901,1.2932320816817375
v3_a4_retest_A4,8735254d6c55150b4d094a283732f1e3bb7050cb638d2de74a31cc313f05ab27,5678,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.007426220764654074,0.5088118811881188,0.5585120583785708,-0.10278317479251253,0.03621136506996528,-0.20762758570032072,0.025032231614167885,0.014870662166445836,23076,6372,10100,225185,41,0.005819956754705221,1463.8347871303558,v3-3.0.0-dev,9a34e219e66a,0.765940594059406,1.7682667726394232
v3_a4_retest_A4,e7ff1b561c11baf24b9e604ce3864fc3ef781c434d8ee04119db97c356e5ad35,9999,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.01940028311755223,0.47396039603960394,0.2984286280205995,-0.056628427761802325,0.03544548935716969,-0.8659043998185806,0.02472489980191642,0.03891190788465804,23076,6372,10100,225185,38,0.005909796215519859,1308.4647018909454,v3-3.0.0-dev,9a34e219e66a,0.7774257425742575,1.8301613566798156
v3_a4_retest_A7,150e15dbd94ab72345f460e9fa08d9c6accce6d59709d76ebd4f79d7ed0e1b4e,9999,0,none,none,tft,quantile,"return,direction,volatility",none,60,tft,-0.013095748696313844,0.5087128712871287,0.6098443151438906,-0.024267784484420796,0.034898486116055116,0.09621350721710835,0.024419778894944514,0.06248641288310863,23076,6372,10100,195021,57,0.005701103401091183,1619.9704241752625,v3-3.0.0-dev,9a34e219e66a,0.6352475247524753,1.244259380728683
v3_a4_retest_A4,7408ad2be1d49cb88a47c871b0e847df93a472028de7a30533b2b755ca3b5fa7,789,1,none,none,tft,quantile,"return,direction,volatility",none,60,tft,0.025575488156513074,0.5004568064155923,0.44924454392837154,-0.05990071938436414,0.02351683211280025,-0.3593237507435834,0.015636251252110187,-0.1772471308263628,30436,9112,9851,225185,33,0.009187944042113103,1516.3004548549652,v3-3.0.0-dev,9a34e219e66a,0.7978885392345955,2.444207358594388
