vol_rmse,vol_mae,vol_r2,best_val_rmse,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,target_type,sequence_modalities,elapsed_s
0.0228962044966826,0.0125835062935948,0.0482398271560668,0.0125410994514822,A1,concat,0,42,"[""price"", ""news"", ""macro"", ""social""]",37785,9515,13915,74305,75,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",727.7460649013519
0.0140068307487075,0.0090019842609763,0.0037158727645874,0.0235494431108236,A1,concat,1,42,"[""price"", ""news"", ""macro"", ""social""]",48785,12430,13860,74305,64,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",794.3197870254517
0.0140980161712817,0.0090967416763305,0.0657166838645935,0.0145915113389492,A1,concat,2,42,"[""price"", ""news"", ""macro"", ""social""]",59785,15290,13860,74305,104,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1483.818780899048
0.0143650001799179,0.0089900912716984,-0.0606215000152587,0.0135280629619956,A1,concat,3,42,"[""price"", ""news"", ""macro"", ""social""]",70840,18040,13805,74305,69,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1158.954391002655
0.0112581443301746,0.0075190896168351,0.0096675753593444,0.0152463521808385,A1,concat,4,42,"[""price"", ""news"", ""macro"", ""social""]",82060,20680,6875,74305,62,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1286.704332113266
0.0231827724286396,0.0141957812011241,0.0242663621902465,0.0125103294849395,A1,concat,0,123,"[""price"", ""news"", ""macro"", ""social""]",37785,9515,13915,74305,150,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1507.0077052116394
0.0140222864804313,0.0090929735451936,0.0015159249305725,0.0235018637031316,A1,concat,1,123,"[""price"", ""news"", ""macro"", ""social""]",48785,12430,13860,74305,62,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",824.7830662727356
0.0141679484409886,0.0090254927054047,0.0564247965812683,0.0145559599623084,A1,concat,2,123,"[""price"", ""news"", ""macro"", ""social""]",59785,15290,13860,74305,101,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1622.2522327899933
0.0143993569243918,0.0089837741106748,-0.065700888633728,0.0135358879342675,A1,concat,3,123,"[""price"", ""news"", ""macro"", ""social""]",70840,18040,13805,74305,104,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",2005.6559522151947
0.011327754289012,0.0077878446318209,-0.0026168823242187,0.015292284078896,A1,concat,4,123,"[""price"", ""news"", ""macro"", ""social""]",82060,20680,6875,74305,65,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1445.3526558876038
0.0233736447358795,0.012822694145143,0.008133053779602,0.0125425541773438,A1,concat,0,456,"[""price"", ""news"", ""macro"", ""social""]",37785,9515,13915,74305,83,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",852.3304078578949
0.0141053717451621,0.0090097356587648,-0.010351538658142,0.0234922021627426,A1,concat,1,456,"[""price"", ""news"", ""macro"", ""social""]",48785,12430,13860,74305,51,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",687.9957411289215
0.0140942693181689,0.0091809686273336,0.0662131905555725,0.0145294209942221,A1,concat,2,456,"[""price"", ""news"", ""macro"", ""social""]",59785,15290,13860,74305,101,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1675.2673559188845
0.0142836376454936,0.0089726950973272,-0.0486409664154052,0.0135457208380103,A1,concat,3,456,"[""price"", ""news"", ""macro"", ""social""]",70840,18040,13805,74305,75,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1404.7882957458496
0.0113701408327091,0.007693073246628,-0.010134220123291,0.0153376413509249,A1,concat,4,456,"[""price"", ""news"", ""macro"", ""social""]",82060,20680,6875,74305,31,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",687.2165801525116
0.0230249540085506,0.0122524444013834,0.0375059247016906,0.0127772325649857,A2,concat,0,42,"[""price"", ""news"", ""macro""]",37785,9515,13915,68865,58,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",526.5877230167389
0.0144198346994033,0.0089302919805049,-0.0559029579162597,0.0234100613743066,A2,concat,1,42,"[""price"", ""news"", ""macro""]",48785,12430,13860,68865,51,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",565.3495411872864
0.0143892651253807,0.0091290716081857,0.0267154574394226,0.0146691258996725,A2,concat,2,42,"[""price"", ""news"", ""macro""]",59785,15290,13860,68865,83,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1106.467308998108
0.0143569632282657,0.0089932912960648,-0.0594350099563598,0.0136399175971746,A2,concat,3,42,"[""price"", ""news"", ""macro""]",70840,18040,13805,68865,53,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",838.3884251117706
0.0113130550662037,0.0077769639901816,-1.6570091247558594e-05,0.0152702815830707,A2,concat,4,42,"[""price"", ""news"", ""macro""]",82060,20680,6875,68865,44,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",808.6174042224884
0.0233048694722101,0.0122948652133345,0.0139614939689636,0.0127665139734745,A2,concat,0,123,"[""price"", ""news"", ""macro""]",37785,9515,13915,68865,51,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",429.8580901622772
0.0145127198280249,0.0089331744238734,-0.0695500373840332,0.0237956028431653,A2,concat,1,123,"[""price"", ""news"", ""macro""]",48785,12430,13860,68865,52,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",583.8226819038391
0.0145725669599605,0.0091325482353568,0.0017606019973754,0.0147772748023271,A2,concat,2,123,"[""price"", ""news"", ""macro""]",59785,15290,13860,68865,51,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",667.5498058795929
0.0144294886210036,0.0090115079656243,-0.0701657533645629,0.0136582171544432,A2,concat,3,123,"[""price"", ""news"", ""macro""]",70840,18040,13805,68865,52,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",812.9900560379028
0.0113396693416902,0.0077716843225061,-0.0047272443771362,0.0154332453384995,A2,concat,4,123,"[""price"", ""news"", ""macro""]",82060,20680,6875,68865,56,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1025.1371681690216
0.0225333828439065,0.0123664531856775,0.0781647562980651,0.0127494372427463,A2,concat,0,456,"[""price"", ""news"", ""macro""]",37785,9515,13915,68865,57,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",484.895103931427
0.0143213449594764,0.0089851999655365,-0.0415283441543579,0.0232177563011646,A2,concat,1,456,"[""price"", ""news"", ""macro""]",48785,12430,13860,68865,55,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",591.0052127838135
0.0143921935625359,0.0091410130262374,0.0263192057609558,0.0146404886618256,A2,concat,2,456,"[""price"", ""news"", ""macro""]",59785,15290,13860,68865,82,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1072.648020029068
0.0143604500231177,0.0089787160977721,-0.0599496364593505,0.0136013915762305,A2,concat,3,456,"[""price"", ""news"", ""macro""]",70840,18040,13805,68865,97,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1546.713565826416
0.0114079821243882,0.0078736981377005,-0.0168690681457519,0.0154062146320939,A2,concat,4,456,"[""price"", ""news"", ""macro""]",82060,20680,6875,68865,43,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",791.70139503479
0.0238140096149147,0.0126304579898715,-0.0295929908752441,0.012885564006865,A3,concat,0,42,"[""price"", ""news""]",37785,9515,13915,64129,62,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",486.40737199783325
0.0141473184754361,0.0101945316419005,-0.0163697004318237,0.0242969188839197,A3,concat,1,42,"[""price"", ""news""]",48785,12430,13860,64129,32,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",326.1880738735199
0.0145022583898853,0.0101456977427005,0.01136976480484,0.0145707102492451,A3,concat,2,42,"[""price"", ""news""]",59785,15290,13860,64129,32,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",401.48447465896606
0.0141196591582101,0.0091084148734807,-0.0247019529342651,0.0136033194139599,A3,concat,3,42,"[""price"", ""news""]",70840,18040,13805,64129,103,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",1525.8647561073303
0.0114761469450014,0.008188122883439,-0.0290572643280029,0.0151041690260171,A3,concat,4,42,"[""price"", ""news""]",82060,20680,6875,64129,32,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",555.4785170555115
0.02367905229011,0.0128878066316246,-0.0179563760757446,0.0128918820992112,A3,concat,0,123,"[""price"", ""news""]",37785,9515,13915,64129,43,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",340.5089385509491
0.014257874880615,0.0089156860485672,-0.0323169231414794,0.0245926957577466,A3,concat,1,123,"[""price"", ""news""]",48785,12430,13860,64129,56,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",574.1086392402649
0.0145928300950771,0.0098565854132175,-0.0010174512863159,0.0146663822233676,A3,concat,2,123,"[""price"", ""news""]",59785,15290,13860,64129,35,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",439.4300043582916
0.0140927829987244,0.009145800024271,-0.0208047628402709,0.0136480648070573,A3,concat,3,123,"[""price"", ""news""]",70840,18040,13805,64129,61,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",905.7105741500854
0.012139642793436,0.009327289648354,-0.1514873504638672,0.0150965377688407,A3,concat,4,123,"[""price"", ""news""]",82060,20680,6875,64129,33,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",570.0346250534058
0.0237260419441015,0.0126258954405784,-0.0220005512237548,0.0128595316782593,A3,concat,0,456,"[""price"", ""news""]",37785,9515,13915,64129,103,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",819.8548381328583
0.014349265566747,0.0089070033282041,-0.04559326171875,0.0246701147407293,A3,concat,1,456,"[""price"", ""news""]",48785,12430,13860,64129,54,20,0.005,64,30,1.0,64,0.0001,0.5,volatility,"[""price""]",555.8656160831451
